userid,age,  Gender  ,location,  Income  ,debt,  Owns Property  ,profession,  Demographics  ,  Platform  ,  Total Time Spent  ,number of sessions,video id,video category,  Video Length  ,  Engagement  ,  Importance Score  ,time spent on video,  Number Of Videos Watched  ,  Scroll Rate  ,  Frequency  ,productivityloss,  Satisfaction  ,  Watch Reason  ,  Devicetype  ,  Os  ,  Watch Time  ,  Self Control  ,  Addiction Level  ,currentactivity,connectiontype,  Favorite Day Of The Week  ,coffee preference,  Random Quote  ,  Mood Today  ,  Shoe Size  ,  Breakfast Item  ,  Favorite Emoji  ,marital status,  Pet Name  
11,28,  Male  ,  Indonesia  ,76614,  True  ,  True  ,  Manager  ,  Rural  ,  Instagram  ,14,15,2690,  Pranks  ,8,6227,4,2,19,29,  Afternoon  ,5,5,  Boredom  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At home  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  YOLO  ,  Sad  ,10,  Toast  ,  🔥  ,  Single  ,  Buddy  
12,41,  Other  ,  Philippines  ,25105,  False  ,  False  ,  Labor/Worker  ,  Urban  ,  TikTok  ,129,15,7191,  Life Hacks  ,27,3535,9,26,48,35,  Evening  ,6,4,  Habit  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Wi-Fi  ,  Wednesday  ,  Espresso  ,  YOLO  ,  Tired  ,7,  Nothing  ,  😂  ,  nan  ,  Bella  
13,53,  Male  ,  Japan  ,22839,  nan  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,286,11,2811,  Gaming  ,29,7004,5,4,32,70,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At school  ,  Mobile Data  ,  Friday  ,  Latte  ,  Keep going  ,  Happy  ,,  Cereal  ,  😂  ,  Single  ,  Bella  
14,57,  Male  ,  Indonesia  ,88920,  True  ,  True  ,  Waiting staff  ,  Rural  ,  Facebook  ,27,1,6153,  Vlogs  ,24,2913,6,8,15,23,  nan  ,6,4,  Entertainment  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  Commuting  ,  Wi-Fi  ,  Sunday  ,  Latte  ,  YOLO  ,  Tired  ,10,  Nothing  ,  😴  ,  Divorced  ,  Luna  
15,41,  Other  ,  Vietnam  ,63619,  True  ,  True  ,  Cashier  ,  Rural  ,  YouTube  ,207,18,13,  Gaming  ,16,,9,13,5,46,  Evening  ,6,4,  Boredom  ,  Tablet  ,  iOS  ,  2:00 PM  ,8,2,  At school  ,  Wi-Fi  ,  Wednesday  ,  None  ,  Hakuna Matata  ,  Excited  ,12,  Cereal  ,  😂  ,  Single  ,  None  
16,20,  Female  ,  Philippines  ,62821,  True  ,  True  ,  Students  ,  Rural  ,  YouTube  ,66,12,5939,  Entertainment  ,5,2340,7,10,11,44,  Evening  ,6,4,  Entertainment  ,  Smartphone  ,  MacOS  ,  2:00 PM  ,8,2,  At school  ,  Mobile Data  ,  Tuesday  ,  Black  ,  Hakuna Matata  ,  Anxious  ,6,  Nothing  ,  nan  ,  Married  ,  Bella  
17,39,  Female  ,  Mexico  ,33493,  nan  ,  False  ,  Waiting staff  ,  Rural  ,  Facebook  ,102,12,8000,  ASMR  ,21,9795,5,18,15,48,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  iOS  ,  5:00 PM  ,7,3,  At home  ,  Wi-Fi  ,  Thursday  ,  Cappuccino  ,  YOLO  ,  Anxious  ,12,  Omelette  ,  💡  ,  Complicated  ,  Bella  
18,19,  Female  ,  Barzil  ,37069,  False  ,  False  ,  Students  ,  Rural  ,  Facebook  ,28,11,7220,  ASMR  ,22,5289,2,9,29,52,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Windows  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Sunday  ,  None  ,  Carpe Diem  ,  Anxious  ,9,  Nothing  ,  😂  ,  Complicated  ,  Bella  
19,41,  Other  ,  Japan  ,27531,  nan  ,  False  ,  Labor/Worker  ,  Rural  ,  Facebook  ,202,8,5329,  Pranks  ,10,597,4,1,45,8,  Evening  ,6,4,  Entertainment  ,  Smartphone  ,  iOS  ,  2:00 PM  ,8,2,  At work  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  Carpe Diem  ,  Excited  ,10,  Cereal  ,  😊  ,  Married  ,  Buddy  
20,61,  Male  ,  United States  ,57051,  True  ,  True  ,  Labor/Worker  ,  Urban  ,  Instagram  ,246,7,3622,  Vlogs  ,23,8836,2,13,4,55,  Morning  ,8,2,  Habit  ,  Smartphone  ,  MacOS  ,  8:00 AM  ,10,0,  At work  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  Hakuna Matata  ,  Anxious  ,11,  Cereal  ,  😂  ,  Married  ,  Luna  
21,47,  Male  ,  India  ,27736,  False  ,  False  ,  Waiting staff  ,  Rural  ,  YouTube  ,286,2,3684,  Vlogs  ,13,7145,3,18,49,66,  Afternoon  ,5,5,  Habit  ,  Tablet  ,  iOS  ,  5:00 PM  ,7,3,  Commuting  ,  Mobile Data  ,  Wednesday  ,  Black  ,  Keep going  ,  Happy  ,10,  Cereal  ,  😂  ,  Married  ,  None  
22,55,  Male  ,  Barzil  ,27710,  False  ,  False  ,  driver  ,  Rural  ,  Facebook  ,236,11,7873,  Entertainment  ,29,2902,3,15,36,77,  Afternoon  ,5,5,  Boredom  ,  Computer  ,  Android  ,  5:00 PM  ,7,3,  Commuting  ,  Mobile Data  ,  Sunday  ,  Black  ,  Live Laugh Love  ,  Sad  ,12,  Omelette  ,  😴  ,  Complicated  ,  Max  
23,19,  Female  ,  Indonesia  ,87155,  True  ,  False  ,  Students  ,  Rural  ,  Instagram  ,242,10,5311,  Entertainment  ,26,6645,4,2,48,40,  Night  ,3,7,  Boredom  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  At work  ,  Mobile Data  ,  Friday  ,  Latte  ,  Hakuna Matata  ,  Sad  ,7,  Cereal  ,  😂  ,  Complicated  ,  Max  
24,38,  Female  ,  India  ,33975,  nan  ,  False  ,  Waiting staff  ,  Urban  ,  Facebook  ,49,3,,  Pranks  ,14,8955,6,11,23,85,  Evening  ,6,4,  Habit  ,  Smartphone  ,  iOS  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Friday  ,  Latte  ,  Keep going  ,  Happy  ,12,  Nothing  ,  nan  ,  Divorced  ,  Luna  
25,50,  Male  ,  Germany  ,82424,  nan  ,  True  ,  Waiting staff  ,  nan  ,  TikTok  ,162,10,5800,  Jokes/Memes  ,7,7694,3,29,15,31,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Tuesday  ,  Black  ,  Hakuna Matata  ,  Happy  ,12,  Cereal  ,  😊  ,  Complicated  ,  None  
26,29,  Male  ,  Japan  ,65603,  True  ,  False  ,  Labor/Worker  ,  nan  ,  TikTok  ,136,18,8813,  Jokes/Memes  ,29,4830,1,14,46,48,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At school  ,  Wi-Fi  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Happy  ,6,  Pancakes  ,  🔥  ,  Complicated  ,  Bella  
27,39,  Male  ,  Japan  ,43252,  False  ,  True  ,  Students  ,  Rural  ,  YouTube  ,246,14,3791,  Gaming  ,20,7546,1,22,44,61,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Monday  ,  Cappuccino  ,  Hakuna Matata  ,  Tired  ,,  Toast  ,  💡  ,  Married  ,  Bella  
28,61,  Other  ,  Vietnam  ,21431,  False  ,  nan  ,  Manager  ,  Urban  ,  Instagram  ,64,18,,  Life Hacks  ,6,7368,9,15,3,52,  Night  ,3,7,  Habit  ,  Smartphone  ,  iOS  ,  9:00 PM  ,5,5,  At home  ,  Wi-Fi  ,  Saturday  ,  Cappuccino  ,  YOLO  ,  Happy  ,8,  Cereal  ,  nan  ,  Divorced  ,  None  
29,42,  Female  ,  India  ,94603,  True  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,181,8,4513,  Entertainment  ,7,9834,9,14,32,38,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  MacOS  ,  2:00 PM  ,8,2,  At work  ,  Mobile Data  ,  Monday  ,  Espresso  ,  Keep going  ,  Sad  ,10,  Nothing  ,  💡  ,  Divorced  ,  None  
30,44,  Male  ,  India  ,57481,  True  ,  False  ,  driver  ,  Urban  ,  TikTok  ,118,10,4760,  Pranks  ,5,2160,5,16,10,91,  Evening  ,6,4,  Entertainment  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Wi-Fi  ,  Wednesday  ,  None  ,  YOLO  ,  Happy  ,10,  Cereal  ,  💡  ,  Complicated  ,  Buddy  
31,59,  Male  ,  United States  ,29557,  False  ,  True  ,  driver  ,  Rural  ,  Instagram  ,193,13,5875,  Pranks  ,21,5878,9,23,40,36,  nan  ,8,2,  Habit  ,  Smartphone  ,  iOS  ,  8:00 AM  ,10,0,  At school  ,  Wi-Fi  ,  Monday  ,  None  ,  YOLO  ,  Sad  ,7,  Nothing  ,  😂  ,  nan  ,  Bella  
32,45,  Male  ,  United States  ,94971,  True  ,  False  ,  Students  ,  Rural  ,  Facebook  ,207,8,3689,  Jokes/Memes  ,18,7663,7,29,38,87,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At home  ,  Mobile Data  ,  Monday  ,  Black  ,  Hakuna Matata  ,  Sad  ,,  Nothing  ,  😂  ,  Complicated  ,  Bella  
33,33,  Male  ,  India  ,20162,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  Instagram  ,96,4,7690,  Trends  ,23,3749,9,15,22,55,  nan  ,3,7,  Boredom  ,  Tablet  ,  iOS  ,  9:00 PM  ,5,5,  Commuting  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  Live Laugh Love  ,  Excited  ,11,  Cereal  ,  😊  ,  Single  ,  Bella  
34,32,  Other  ,  Mexico  ,54742,  True  ,  False  ,  Waiting staff  ,  Rural  ,  Facebook  ,210,4,1380,  Trends  ,12,2922,7,19,14,85,  Evening  ,6,4,  Entertainment  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At work  ,  Mobile Data  ,  Thursday  ,  Black  ,  Live Laugh Love  ,  Excited  ,5,  Toast  ,  😂  ,  Complicated  ,  None  
35,64,  Female  ,  Vietnam  ,39675,  False  ,  True  ,  Students  ,  Rural  ,  TikTok  ,284,5,4244,  Entertainment  ,6,6486,9,27,17,13,  Evening  ,6,4,  nan  ,  Tablet  ,  iOS  ,  2:00 PM  ,8,2,  At school  ,  Mobile Data  ,  Wednesday  ,  Cappuccino  ,  Hakuna Matata  ,  Tired  ,6,  Cereal  ,  😂  ,  Married  ,  Max  
36,61,  Other  ,  Mexico  ,93997,  True  ,  False  ,  Students  ,  Urban  ,  TikTok  ,220,1,9581,  Jokes/Memes  ,27,8112,2,9,21,37,  Night  ,3,7,  Procrastination  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Wi-Fi  ,  Thursday  ,  Latte  ,  Hakuna Matata  ,  Tired  ,10,  Nothing  ,  🔥  ,  Married  ,  Max  
37,20,  Male  ,  United States  ,37015,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,127,17,6508,  Entertainment  ,1,8771,8,5,48,47,  Night  ,3,7,  Entertainment  ,  Tablet  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Mobile Data  ,  Saturday  ,  Latte  ,  Keep going  ,  Happy  ,9,  Nothing  ,  🔥  ,  Married  ,  Bella  
38,54,  Male  ,  Philippines  ,70057,  True  ,  False  ,  Students  ,  Urban  ,  YouTube  ,200,2,7820,  Jokes/Memes  ,4,3804,7,5,15,90,  Afternoon  ,5,5,  Boredom  ,  Smartphone  ,  iOS  ,  5:00 PM  ,7,3,  At school  ,  Wi-Fi  ,  Thursday  ,  Latte  ,  Keep going  ,  Sad  ,12,  Nothing  ,  😊  ,  nan  ,  Buddy  
39,24,  Male  ,  Barzil  ,52591,  True  ,  True  ,  Cashier  ,  Rural  ,  YouTube  ,51,8,8594,  Jokes/Memes  ,19,4878,6,11,15,71,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  Keep going  ,  Excited  ,8,  Nothing  ,  🔥  ,  Single  ,  Buddy  
40,38,  Male  ,  Germany  ,29833,  False  ,  False  ,  Students  ,  Rural  ,  YouTube  ,51,7,2654,  ASMR  ,12,2368,5,28,1,22,  Afternoon  ,5,5,  Boredom  ,  Tablet  ,  Android  ,  5:00 PM  ,7,3,  Commuting  ,  Mobile Data  ,  Tuesday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,7,  Omelette  ,  😊  ,  Complicated  ,  None  
41,26,  Male  ,  Pakistan  ,27896,  False  ,  True  ,  Waiting staff  ,  Urban  ,  Instagram  ,285,15,,  Comedy  ,15,8093,4,20,24,39,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At work  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  YOLO  ,  Sad  ,11,  Pancakes  ,  🔥  ,  Complicated  ,  None  
42,56,  Male  ,  India  ,52972,  True  ,  False  ,  Students  ,  Urban  ,  TikTok  ,26,5,6128,  ASMR  ,3,3932,7,25,12,87,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  Carpe Diem  ,  Happy  ,8,  Nothing  ,  🔥  ,  Divorced  ,  Buddy  
43,35,  Other  ,  Indonesia  ,69733,  True  ,  True  ,  Cashier  ,  Rural  ,  TikTok  ,292,2,3924,  Life Hacks  ,23,5608,3,24,10,58,  Morning  ,8,2,  Entertainment  ,  Tablet  ,  MacOS  ,  8:00 AM  ,10,0,  At home  ,  Mobile Data  ,  Wednesday  ,  Black  ,  Carpe Diem  ,  Tired  ,8,  Omelette  ,  😊  ,  Single  ,  Max  
44,21,  Female  ,  Pakistan  ,61800,  True  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,267,7,,  Gaming  ,27,6635,8,28,46,30,  Night  ,3,7,  Entertainment  ,  Tablet  ,  Windows  ,  9:00 PM  ,5,5,  At school  ,  Mobile Data  ,  Friday  ,  None  ,  Carpe Diem  ,  Anxious  ,7,  Omelette  ,  nan  ,  Married  ,  Bella  
45,42,  Other  ,  Philippines  ,25347,  False  ,  True  ,  Labor/Worker  ,  Urban  ,  YouTube  ,72,8,,  Gaming  ,28,6395,2,4,42,18,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  iOS  ,  2:00 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Tuesday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,11,  Pancakes  ,  😴  ,  Married  ,  Bella  
46,31,  Female  ,  Pakistan  ,79063,  True  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,71,7,5131,  Comedy  ,26,6101,1,20,42,18,  Evening  ,6,4,  Procrastination  ,  Smartphone  ,  Windows  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Tuesday  ,  Espresso  ,  YOLO  ,  Happy  ,,  Toast  ,  💡  ,  Complicated  ,  Luna  
47,26,  Male  ,  Vietnam  ,22643,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  YouTube  ,109,7,5440,  Trends  ,20,9292,2,18,31,74,  Afternoon  ,5,5,  Procrastination  ,  Smartphone  ,  MacOS  ,  5:00 PM  ,7,3,  At school  ,  Mobile Data  ,  Sunday  ,  Black  ,  Live Laugh Love  ,  Excited  ,7,  Toast  ,  😊  ,  Divorced  ,  Bella  
48,43,  Male  ,  Japan  ,60785,  True  ,  True  ,  Students  ,  Rural  ,  TikTok  ,28,14,7881,  Pranks  ,28,9862,9,25,11,39,  Night  ,3,7,  Entertainment  ,  Tablet  ,  Android  ,  9:00 PM  ,5,5,  At work  ,  Mobile Data  ,  Monday  ,  Espresso  ,  Hakuna Matata  ,  Tired  ,12,  Cereal  ,  😂  ,  Complicated  ,  None  
49,19,  Female  ,  India  ,38681,  False  ,  True  ,  Students  ,  Rural  ,  Facebook  ,26,18,6450,  Trends  ,8,5531,5,3,16,94,  Evening  ,6,4,  Boredom  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Wi-Fi  ,  Monday  ,  Latte  ,  YOLO  ,  Sad  ,6,  Nothing  ,  😊  ,  Divorced  ,  Max  
50,37,  Male  ,  United States  ,70026,  nan  ,  True  ,  Students  ,  nan  ,  YouTube  ,255,6,,  Life Hacks  ,11,4970,8,4,9,26,  Afternoon  ,5,5,  Procrastination  ,  Smartphone  ,  iOS  ,  5:00 PM  ,7,3,  At home  ,  Mobile Data  ,  Sunday  ,  None  ,  Keep going  ,  Anxious  ,9,  Nothing  ,  😂  ,  Divorced  ,  Buddy  
51,45,  Female  ,  United States  ,35892,  False  ,  False  ,  Waiting staff  ,  Rural  ,  TikTok  ,260,4,9305,  Entertainment  ,16,6344,3,14,47,71,  Afternoon  ,5,5,  Entertainment  ,  Tablet  ,  Windows  ,  5:00 PM  ,7,3,  At home  ,  Wi-Fi  ,  Friday  ,  None  ,  Live Laugh Love  ,  Excited  ,10,  Cereal  ,  nan  ,  Complicated  ,  Luna  
52,64,  Other  ,  Mexico  ,67299,  True  ,  True  ,  driver  ,  Rural  ,  TikTok  ,90,10,7523,  Entertainment  ,9,8408,7,7,14,7,  Evening  ,6,4,  Entertainment  ,  Tablet  ,  iOS  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Thursday  ,  Espresso  ,  Keep going  ,  Sad  ,7,  Nothing  ,  💡  ,  nan  ,  Max  
53,24,  Male  ,  Germany  ,37073,  False  ,  False  ,  Students  ,  nan  ,  Facebook  ,48,18,4785,  Pranks  ,3,375,2,26,19,69,  Evening  ,6,4,  Boredom  ,  Tablet  ,  MacOS  ,  2:00 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Thursday  ,  Latte  ,  Live Laugh Love  ,  Anxious  ,12,  Toast  ,  😴  ,  Single  ,  None  
54,61,  Male  ,  Vietnam  ,50682,  True  ,  False  ,  driver  ,  Rural  ,  TikTok  ,45,12,9473,  Trends  ,5,7887,8,8,31,65,  nan  ,5,5,  Procrastination  ,  Computer  ,  Android  ,  5:00 PM  ,7,3,  At work  ,  Mobile Data  ,  Saturday  ,  Black  ,  Live Laugh Love  ,  Happy  ,12,  Pancakes  ,  😊  ,  Complicated  ,  Max  
55,25,  Other  ,  India  ,34289,  False  ,  False  ,  Cashier  ,  Rural  ,  TikTok  ,206,16,1233,  Life Hacks  ,20,,7,24,9,46,  Evening  ,6,4,  Habit  ,  Smartphone  ,  iOS  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Tuesday  ,  None  ,  Keep going  ,  Anxious  ,8,  Omelette  ,  😊  ,  Complicated  ,  None  
56,64,  Male  ,  Japan  ,27927,  False  ,  False  ,  Manager  ,  Rural  ,  YouTube  ,167,7,8809,  Life Hacks  ,14,2939,5,16,36,18,  Night  ,3,7,  Boredom  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Wi-Fi  ,  Saturday  ,  Espresso  ,  Keep going  ,  Anxious  ,10,  Nothing  ,  💡  ,  Divorced  ,  Max  
57,52,  Male  ,  Indonesia  ,68330,  True  ,  False  ,  Labor/Worker  ,  Rural  ,  YouTube  ,213,6,8339,  Jokes/Memes  ,28,4062,4,20,39,13,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At school  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  YOLO  ,  Tired  ,8,  Omelette  ,  💡  ,  Divorced  ,  Luna  
58,31,  Male  ,  United States  ,86707,  True  ,  True  ,  Waiting staff  ,  Rural  ,  Facebook  ,205,5,7447,  Entertainment  ,26,1613,1,15,26,25,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  At home  ,  Mobile Data  ,  Monday  ,  Espresso  ,  Carpe Diem  ,  Happy  ,6,  Cereal  ,  🔥  ,  Single  ,  Max  
59,34,  Male  ,  Vietnam  ,97454,  True  ,  False  ,  Waiting staff  ,  Rural  ,  Facebook  ,225,3,4617,  Vlogs  ,15,6578,5,7,8,8,  Night  ,3,7,  nan  ,  Tablet  ,  Android  ,  9:00 PM  ,5,5,  At school  ,  Mobile Data  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Anxious  ,,  Omelette  ,  😊  ,  Complicated  ,  Luna  
60,53,  Male  ,  Japan  ,85428,  nan  ,  False  ,  driver  ,  Urban  ,  TikTok  ,294,12,4726,  Life Hacks  ,6,7851,9,26,24,74,  Night  ,3,7,  Habit  ,  Smartphone  ,  iOS  ,  9:00 PM  ,5,5,  At home  ,  Mobile Data  ,  Tuesday  ,  Latte  ,  Carpe Diem  ,  Happy  ,11,  Pancakes  ,  nan  ,  Complicated  ,  Bella  
61,57,  Female  ,  Germany  ,70601,  True  ,  True  ,  driver  ,  Rural  ,  YouTube  ,205,15,3678,  Entertainment  ,27,,4,17,8,32,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  iOS  ,  5:00 PM  ,7,3,  At home  ,  Wi-Fi  ,  Friday  ,  Latte  ,  Hakuna Matata  ,  Tired  ,5,  Nothing  ,  nan  ,  Complicated  ,  None  
62,21,  Other  ,  United States  ,97465,  True  ,  True  ,  Waiting staff  ,  Urban  ,  Facebook  ,161,10,6288,  Jokes/Memes  ,26,7540,9,22,19,17,  Afternoon  ,5,5,  Procrastination  ,  Smartphone  ,  Android  ,  5:00 PM  ,7,3,  Commuting  ,  Wi-Fi  ,  Friday  ,  Latte  ,  Carpe Diem  ,  Sad  ,8,  Nothing  ,  🔥  ,  Divorced  ,  Luna  
63,19,  Male  ,  United States  ,22539,  False  ,  True  ,  Waiting staff  ,  Rural  ,  Facebook  ,23,19,8481,  Entertainment  ,4,9488,2,22,47,79,  Evening  ,6,4,  Habit  ,  Computer  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Mobile Data  ,  Monday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,11,  Omelette  ,  🔥  ,  Divorced  ,  Bella  
64,23,  Male  ,  Vietnam  ,42669,  False  ,  False  ,  Students  ,  Rural  ,  Instagram  ,155,16,1410,  ASMR  ,8,7074,4,22,48,79,  Evening  ,6,4,  Boredom  ,  Computer  ,  iOS  ,  2:00 PM  ,8,2,  Commuting  ,  Wi-Fi  ,  Friday  ,  None  ,  Hakuna Matata  ,  Tired  ,5,  Omelette  ,  😴  ,  Divorced  ,  Buddy  
